Descrição;Código;Qtd. Estoque;Preço de Venda;;;;;;;Preço de Compra;Custo Final;Custo Médio;;;
 FIO PRETO Nambei 1 x 10mm ( 1M );1134;140,0;R$ 13,90;;;;;;;R$ 6,9000;R$ 6,9000;R$ 6,9000;;;
 FIO VERDE Nambei 1 x 10mm ( 1M );1135;100,0;R$ 13,90;;;;;;;R$ 6,9000;R$ 6,9000;R$ 6,9000;;;
 JOELHO LISO 11/2x45;581;3,0;R$ 6,90;;;;;;;R$ 3,3400;R$ 3,3400;R$ 3,3400;;;
 LAPIS P PED/CAR Tramontina;29;36,0;R$ 3,00;;;;;;;R$ 1,4230;R$ 1,4230;R$ 1,4230;;;
(1 unidade) PREGO POLIDO CIBRASIDER 18X30 ;1174;184,0;R$ 0,20;;;;;;;R$ 0,0600;R$ 0,0600;R$ 0,0600;;;
(UNIDADE) BOTAO FRANCES PVC ;876;26,0;R$ 2,50;;;;;;;R$ 1,0740;R$ 1,0740;R$ 1,0740;;;
00 estoque 00 ROLO POLIEST 5CM C/C C/48 -COMPEL;1255;10,0;R$ 4,00;;;;;;;R$ 2,5700;R$ 2,5700;R$ 2,5700;;;
00 estoque 00 ROLO POLIEST 9CM C/C C/36 -COMPEL;1256;10,0;R$ 6,00;;;;;;;R$ 3,3000;R$ 3,3000;R$ 3,3000;;;
1 INT SIMPLES SOFT + 1 TOMADA 2P+T 10A 250V;1117;18,0;R$ 16,10;;;;;;;R$ 6,5910;R$ 7,9860;R$ 7,9860;;;
1 INT SIMPLES SOFT + 1 TOMADA 2P+T 20A 250VC;1118;17,0;R$ 18,90;;;;;;;R$ 7,6160;R$ 9,2280;R$ 9,2280;;;
1 INTERRUPTOR PARALELO SOFT 10A250VCA HORIZ C/ PLACA ON;658;3,0;R$ 12,90;;;;;;;R$ 4,5250;R$ 5,4830;R$ 5,4830;;;
1 INTERRUPTOR PARALELO SOFT 10A250VCA VERTICAL / PLACA ON;1115;17,0;R$ 12,90;;;;;;;R$ 4,6630;R$ 5,6500;R$ 5,6500;;;
1 INTERRUPTOR SIMPLES SOFT 10A250VCA HORIZ;688;31,0;R$ 11,90;;;;;;;R$ 4,1360;R$ 5,0115;R$ 4,9483;;;
1 METRO - TELA GALV. PINTEIRO  ;990;90,0;R$ 9,00;;;;;;;R$ 4,5890;R$ 4,5890;R$ 0,0000;;;
1 METRO - TELA PVC VIVEIRO - TECNYL;991;48,0;R$ 5,00;;;;;;;R$ 2,8612;R$ 2,8612;R$ 2,8612;;;
1 METRO CONDUITE AM 1/2X10M KRONA;1132;10,0;R$ 4,50;;;;;;;R$ 2,1000;R$ 2,1000;R$ 2,1000;;;
1 UNI TERMINAL ANEL ISOL 0,5-1,5MM2 VERMELHO ;680;20,0;R$ 1,30;;;;;;;R$ 0,4700;R$ 0,4700;R$ 0,4700;;;
1 UNI TERMINAL ANEL ISOL 1,5-2,5MM2 AZUL ;687;20,0;R$ 1,30;;;;;;;R$ 0,6100;R$ 0,6100;R$ 0,6100;;;
1 UNI TERMINAL ANEL ISOL 4,0-6,0MM² AMARELO;686;20,0;R$ 4,00;;;;;;;R$ 2,0000;R$ 2,0000;R$ 2,0000;;;
1 UNI TERMINAL GARFO ISOL 0,5-1,5MM2 VERMELHO;685;20,0;R$ 1,00;;;;;;;R$ 0,4900;R$ 0,4900;R$ 0,4900;;;
1 UNI TERMINAL GARFO ISOL 1,5-2,5MM2 AZUL;684;15,0;R$ 1,10;;;;;;;R$ 0,5400;R$ 0,5400;R$ 0,5400;;;
1 UNI TERMINAL GARFO ISOL 4,0-6,0MM2 AMARELO;690;0,0;R$ 2,40;;;;;;;R$ 1,2200;R$ 1,2200;R$ 1,2200;;;
1 unidade - REFIL COLA FINO ;1188;180,0;R$ 1,50;;;;;;;R$ 0,5237;R$ 0,5237;R$ 0,5237;;;
1 unidade - REFIL COLA GROSSO ;1189;68,0;R$ 3,00;;;;;;;R$ 1,3862;R$ 1,3862;R$ 1,3862;;;
100uni PREGO POLIDO PREGOFIX 08X08 ;1053;14,0;R$ 3,00;;;;;;;R$ 0,6400;R$ 0,6400;R$ 0,6400;;;
1M CONDUITE AM 1 polegada- HIDROLETE;924;0,0;R$ 3,00;;;;;;;R$ 1,2200;R$ 1,2200;R$ 1,2200;;;
1M CONDUITE CZ 1 polegada - HIDROLETE;144;1,0;R$ 3,00;;;;;;;R$ 1,1900;R$ 1,1900;R$ 1,1900;;;
1M CONDUITE CZ 3/4  HIDROLETE;926;41,0;R$ 1,50;;;;;;;R$ 0,5900;R$ 0,5900;R$ 0,5900;;;
1metro TELA GALV. PINTEIRO 24BWG-TECNY;862;45,0;R$ 10,00;;;;;;;R$ 5,7362;R$ 5,7362;R$ 5,7361;;;
2 INT SIMPLES SOFT + 1 TOMADA 2P+T 10A;667;24,0;R$ 22,40;;;;;;;R$ 9,2430;R$ 11,1996;R$ 11,1996;;;
225ml E.S.AB BRANCO;703;15,0;R$ 17,50;;;;;;;R$ 7,9150;R$ 8,9833;R$ 9,0725;;;
225ml VERNIZ MARITIMO BRIL;702;5,0;R$ 18,90;;;;;;;R$ 10,4083;R$ 11,8133;R$ 11,8133;;;
3 INT SIMPLES SOFT 10A250VCA HORIZ C/ PLACA ON;682;9,0;R$ 22,00;;;;;;;R$ 9,0890;R$ 11,0120;R$ 11,0120;;;
3 TOMADAS 2P+T 10A 250VCA C/ PLACA ON;674;10,0;R$ 27,00;;;;;;;R$ 10,4370;R$ 13,5220;R$ 13,5220;;;
3 TOMADAS 2P+T 20A 250VCA C/ PLACA ON;675;8,0;R$ 29,00;;;;;;;R$ 11,4890;R$ 14,8830;R$ 14,8830;;;
3 TOMADAS 2P+T VERMELHA 20A 250VCA C/ PLACA ON;677;10,0;R$ 31,00;;;;;;;R$ 12,0750;R$ 15,6430;R$ 15,6430;;;
3,6 ESM.PREMIUM BASE AGUA BRIL.BRANCO;872;3,0;R$ 148,00;;;;;;;R$ 89,3175;R$ 97,6775;R$ 97,6775;;;
3,6 ESM.PREMIUM BS.AGUA FOSCO PRETO;874;4,0;R$ 155,00;;;;;;;R$ 93,5925;R$ 102,3525;R$ 102,3525;;;
3,6 MASSA ACRILICA;696;8,0;R$ 56,30;;;;;;;R$ 38,9900;R$ 39,4963;R$ 39,4963;;;
3,6 MASSA CORRIDA;695;5,0;R$ 32,00;;;;;;;R$ 18,9125;R$ 19,1575;R$ 19,5963;;;
3,6 TRADICAO ACRILICO PREMIUM PLUS BRANCO;694;7,0;R$ 113,50;;;;;;;R$ 62,5775;R$ 68,4325;R$ 69,5200;;;
3,6 TRADICAO ACRILICO PREMIUM PLUS TERRACOTA;1003;2,0;R$ 113,50;;;;;;;R$ 64,7725;R$ 70,8350;R$ 70,8350;;;
3,6 ZARCAO LUKSCOLOR;873;4,0;R$ 176,00;;;;;;;R$ 97,0775;R$ 110,1800;R$ 110,1800;;;
